county;avg_ph;avg_organic_matter_pct;avg_water_capacity;avg_bulk_density;avg_clay_pct;avg_sand_pct;avg_silt_pct;avg_cation_exchange_capacity;avg_saturated_hydraulic_conductivity;year;avg_soil_temperature_0_to_7cm;avg_soil_temperature_7_to_28cm;avg_soil_moisture_0_to_7cm;avg_soil_moisture_7_to_28cm
ADAMS;5.84504505965087;4.44279278720821;0.192432432326379;1.32333332709632;19.9722222222222;21.7214952896689;57.5814814214353;16.6000000047095;16.1060870237972;2020;13.0239;12.958;0.3347;0.3307
ADAMS;5.84504505965087;4.44279278720821;0.192432432326379;1.32333332709632;19.9722222222222;21.7214952896689;57.5814814214353;16.6000000047095;16.1060870237972;2021;13.063;12.9024;0.3277;0.324
ADAMS;5.84504505965087;4.44279278720821;0.192432432326379;1.32333332709632;19.9722222222222;21.7214952896689;57.5814814214353;16.6000000047095;16.1060870237972;2022;12.807;12.7271;0.3151;0.3098
ADAMS;5.84504505965087;4.44279278720821;0.192432432326379;1.32333332709632;19.9722222222222;21.7214952896689;57.5814814214353;16.6000000047095;16.1060870237972;2023;13.5121;13.4471;0.3128;0.3068
ADAMS;5.84504505965087;4.44279278720821;0.192432432326379;1.32333332709632;19.9722222222222;21.7214952896689;57.5814814214353;16.6000000047095;16.1060870237972;2024;13.8552;13.7356;0.3093;0.3041
ADAMS;5.84504505965087;4.44279278720821;0.192432432326379;1.32333332709632;19.9722222222222;21.7214952896689;57.5814814214353;16.6000000047095;16.1060870237972;2025;12.9493;12.8641;0.2869;0.2825
ALLEN;6.48153840578519;3.90763358851426;0.204732822638204;1.39938932611742;25.2480620155039;28.0661537793966;46.468217154806;19.5320610818062;9.420267194737;2020;12.6434;12.5234;0.313;0.3045
ALLEN;6.48153840578519;3.90763358851426;0.204732822638204;1.39938932611742;25.2480620155039;28.0661537793966;46.468217154806;19.5320610818062;9.420267194737;2021;13.1194;12.9274;0.3009;0.2861
ALLEN;6.48153840578519;3.90763358851426;0.204732822638204;1.39938932611742;25.2480620155039;28.0661537793966;46.468217154806;19.5320610818062;9.420267194737;2022;12.5069;12.3966;0.2987;0.2863
ALLEN;6.48153840578519;3.90763358851426;0.204732822638204;1.39938932611742;25.2480620155039;28.0661537793966;46.468217154806;19.5320610818062;9.420267194737;2023;12.9995;12.8917;0.294;0.2771
ALLEN;6.48153840578519;3.90763358851426;0.204732822638204;1.39938932611742;25.2480620155039;28.0661537793966;46.468217154806;19.5320610818062;9.420267194737;2024;13.218;13.0846;0.3055;0.2986
ALLEN;6.48153840578519;3.90763358851426;0.204732822638204;1.39938932611742;25.2480620155039;28.0661537793966;46.468217154806;19.5320610818062;9.420267194737;2025;11.8901;11.7105;0.261;0.2652
ASHLAND;5.79194636152895;6.53086666742961;0.185933331878235;1.30133332458635;18.6246478792647;26.4610525599697;54.4690141745017;16.2788618366893;15.4751333276431;2020;11.9905;11.8591;0.3388;0.3345
ASHLAND;5.79194636152895;6.53086666742961;0.185933331878235;1.30133332458635;18.6246478792647;26.4610525599697;54.4690141745017;16.2788618366893;15.4751333276431;2021;12.3383;12.1362;0.3293;0.3203
ASHLAND;5.79194636152895;6.53086666742961;0.185933331878235;1.30133332458635;18.6246478792647;26.4610525599697;54.4690141745017;16.2788618366893;15.4751333276431;2022;11.7606;11.6361;0.3358;0.3303
ASHLAND;5.79194636152895;6.53086666742961;0.185933331878235;1.30133332458635;18.6246478792647;26.4610525599697;54.4690141745017;16.2788618366893;15.4751333276431;2023;12.1149;11.9775;0.3345;0.332
